city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Angoche,MZ,1633809308,-16.2325,39.9086,75.6,73,0,14.07
Riyadh,SA,1633809241,24.6877,46.7219,80.74,16,0,7.72
Pathein,MM,1633809310,16.7833,94.7333,76.64,92,82,3.04
Faanui,PF,1633809311,-16.4833,-151.75,78.03,71,14,5.3
Fukuechō,JP,1633809313,32.6881,128.8419,77.45,77,0,7.83
Mufumbwe,ZM,1633809314,-13.6833,24.8,74.03,33,21,4.65
Weihe,CN,1633809315,32.9952,105.3247,44.15,93,100,8.61
Skibbereen,IE,1633809317,51.55,-9.2667,57.0,89,0,6.17
Muli,MV,1633809318,2.9167,73.5667,83.01,76,100,12.91
Dalmatovo,RU,1633809319,56.26,62.9362,39.52,86,100,6.62
Shcherbinka,RU,1633809320,55.4997,37.5597,41.14,82,29,2.24
Broken Hill,AU,1633809322,-31.95,141.4333,56.91,94,75,0.0
Cleethorpes,GB,1633809323,53.5605,-0.0323,59.99,75,100,4.79
Enshi,CN,1633809324,30.3,109.4833,68.61,97,100,4.81
Nianzishan,CN,1633809326,47.5167,122.8833,44.65,56,7,21.27
Ossora,RU,1633809327,59.2353,163.0719,31.24,63,26,3.58
Mgandu,TZ,1633809328,-5.95,34.1333,73.42,38,98,9.53
Gravelbourg,CA,1633809330,49.8834,-106.5512,61.07,41,10,5.57
Port Macquarie,AU,1633809331,-31.4333,152.9167,56.89,92,45,9.04
Jérémie,HT,1633809332,18.65,-74.1167,84.42,74,24,4.5
Port Blair,IN,1633809333,11.6667,92.75,79.16,85,100,18.01
Waipawa,NZ,1633809335,-41.4122,175.5153,52.45,79,79,12.39
Kloulklubed,PW,1633809336,7.0419,134.2556,82.72,79,68,21.41
Akot,IN,1633809337,21.0964,77.0586,75.76,65,4,4.76
Lázaro Cárdenas,MX,1633809340,17.9583,-102.2,86.5,68,38,7.45
Artyom,AZ,1633809341,40.4723,50.333,59.14,57,4,9.95
Goderich,CA,1633809342,43.7501,-81.7165,71.2,94,20,5.75
Romuli,RO,1633809344,47.5333,24.4333,35.49,66,91,5.57
Keti Bandar,PK,1633809345,24.1447,67.4497,80.44,75,0,10.69
Mendi,PG,1633809346,-6.1761,143.6513,56.79,98,100,1.9
Port Hawkesbury,CA,1633809347,45.6169,-61.3485,55.89,63,90,4.0
Hakkâri Province,TR,1633809349,37.5833,44.1667,45.39,60,0,3.44
Krasnosel'kup,RU,1633809063,65.7,82.4667,26.01,73,100,16.17
Northfield,US,1633809351,44.4583,-93.1616,80.33,54,1,5.01
Ploemeur,FR,1633809352,47.7333,-3.4333,61.83,89,0,6.91
Birao,CF,1633809354,10.2849,22.7882,79.57,39,60,3.11
Palau,PW,1633809355,7.503,134.621,81.27,79,99,17.45
Samashki,RU,1633809356,43.2906,45.3014,49.75,78,100,2.46
Alvinópolis,BR,1633809358,-20.1067,-43.0489,69.13,79,100,5.82
Nguruka,TZ,1633809359,-5.1092,31.0419,78.12,41,19,4.34
Shīeli,KZ,1633809360,44.1667,66.75,47.79,38,100,7.18
Sacama,EC,1633809362,-3.9,-79.2667,68.02,39,75,9.22
Yangambi,CD,1633809363,0.8102,24.4336,72.88,88,100,1.86
Biała Podlaska,PL,1633809365,52.0324,23.1165,42.64,64,46,6.85
Jilib,SO,1633809366,0.4883,42.7854,76.39,81,25,9.46
Tucumã,BR,1633809367,-0.1833,-50.05,87.15,63,100,11.99
São Félix do Xingu,BR,1633809368,-6.6447,-51.995,95.02,30,90,2.62
Nichinan,JP,1633809370,31.6,131.3667,75.76,81,100,12.12
Zhangye,CN,1633809373,38.9342,100.4517,38.44,27,1,3.51
Rio Verde de Mato Grosso,BR,1633809375,-18.9181,-54.8442,97.36,29,83,10.96
Port Augusta,AU,1633809376,-32.5,137.7667,55.54,75,100,16.04
Nemuro,JP,1633809377,43.3236,145.575,56.39,91,40,16.2
Batemans Bay,AU,1633809378,-35.7167,150.1833,58.91,85,100,9.28
Porbandar,IN,1633809380,21.6422,69.6093,82.49,80,79,4.81
Barstow,US,1633809382,34.8986,-117.0228,73.49,30,0,6.58
Touros,BR,1633809383,-5.1989,-35.4608,85.1,75,67,15.84
Prachuap Khiri Khan,TH,1633809247,12.2167,99.75,81.68,87,100,5.93
Kuching,MY,1633809386,1.55,110.3333,80.82,89,40,3.44
Batticaloa,LK,1633809387,7.7102,81.6924,80.19,71,100,5.41
Ajdabiya,LY,1633809388,30.7554,20.2263,79.0,28,0,9.93
Mitsamiouli,KM,1633809390,-11.3847,43.2844,76.55,82,6,9.93
Adrar,MR,1633809391,20.5022,-10.0711,90.57,12,70,12.39
Chadan,RU,1633809392,51.2833,91.5833,31.14,71,7,3.69
Puerto Escondido,MX,1633809366,15.85,-97.0667,83.95,77,100,6.26
Bereda,ES,1633809395,43.2686,-7.5406,59.92,99,100,7.87
The Valley,AI,1633809252,18.217,-63.0578,87.94,58,20,16.11
Dillon,US,1633809244,34.4166,-79.3712,75.36,68,100,13.35
Gimbi,ET,1633809398,9.1667,35.8333,56.79,97,100,1.48
Chapais,CA,1633809400,49.7834,-74.8492,69.58,57,56,10.51
Ancud,CL,1633809401,-41.8697,-73.8203,63.93,74,1,8.19
Nefteyugansk,RU,1633809402,61.0998,72.6035,32.25,78,45,10.49
Opuwo,NA,1633809403,-18.0607,13.84,78.62,16,0,5.64
Dauphin,CA,1633809405,51.1494,-100.0502,53.74,66,1,3.44
Lakes Entrance,AU,1633809406,-37.8811,147.981,52.57,90,100,10.31
Palu,ID,1633809189,-0.8917,119.8707,76.05,94,100,2.19
Russell,US,1633809409,32.3502,-85.1999,83.05,59,56,6.31
Tromsø,NO,1633809410,69.6496,18.957,46.42,93,75,6.91
Saint-Joseph,RE,1633809412,-21.3667,55.6167,71.98,81,40,14.34
Yebaishou,CN,1633809414,41.3975,119.6408,46.17,47,34,13.78
Vestmannaeyjar,IS,1633809415,63.4427,-20.2734,46.09,80,100,8.59
Nouadhibou,MR,1633809416,20.931,-17.0347,71.87,75,100,24.09
Bukama,CD,1633809417,-9.2,25.85,81.61,26,6,3.49
Izumo,JP,1633809419,35.3667,132.7667,67.95,83,0,5.46
Mthatha,ZA,1633809421,-31.5889,28.7844,54.16,71,0,2.3
Mehamn,NO,1633809422,71.0357,27.8492,37.45,97,100,6.04
Mayo,US,1633809424,38.8876,-76.5119,73.96,75,100,13.0
Upernavik,GL,1633809425,72.7868,-56.1549,29.62,53,98,10.96
Provideniya,RU,1633809426,64.3833,-173.3,29.19,80,28,5.39
La Asuncion,VE,1633809300,11.0333,-63.8628,83.97,71,52,9.93
Marsala,IT,1633809429,37.7966,12.4352,66.0,71,24,9.15
Kerekegyháza,HU,1633809430,46.9372,19.4781,51.46,45,100,4.76
Carora,VE,1633809432,10.1755,-70.0827,90.32,43,94,1.12
Ciudad Bolivar,VE,1633809434,8.1222,-63.5497,88.59,56,100,1.1
Karasjok,NO,1633809435,69.4719,25.5112,35.71,99,100,5.64
Sosnovoborsk,RU,1633809436,56.1325,93.3589,45.95,81,100,13.13
Ust-Maya,RU,1633809438,60.4167,134.5333,28.53,97,83,3.96
Jaca,ES,1633809439,42.569,-0.5499,55.6,79,0,3.53
Sembakung,ID,1633809440,3.8167,117.25,73.29,93,97,1.59
Nuristan,AF,1633809441,35.3,70.8333,37.53,55,67,2.28
Philadelphia,US,1633809152,39.9523,-75.1638,71.74,74,90,5.99
Luanda,AO,1633809444,-8.8368,13.2343,75.2,78,40,11.5
Praia,CV,1633809445,14.9215,-23.5087,82.94,69,20,14.97
Great Falls,US,1633809219,47.5002,-111.3008,63.93,27,1,8.99
Itarema,BR,1633809449,-2.9248,-39.9167,81.68,71,97,19.26
Narkevychi,UA,1633809450,49.5172,26.6418,38.23,48,3,7.45
Parakan,ID,1633809451,-6.4191,106.0081,81.45,91,2,1.77
Pucara,PE,1633809453,-15.9803,-71.4606,50.13,47,58,13.18
Diego de Almagro,CL,1633809454,-26.3667,-70.05,72.81,14,0,11.86
Agadir,MA,1633809455,30.4202,-9.5982,66.65,78,73,6.51
Talara,PE,1633809456,-4.5772,-81.2719,75.96,69,0,12.66
Ibaiti,BR,1633809458,-23.8486,-50.1878,60.26,91,100,7.34
Ponta Delgada,PT,1633809459,37.7333,-25.6667,70.52,88,40,12.66
Half Moon Bay,US,1633809460,37.4636,-122.4286,72.59,56,0,8.93
Linguère,SN,1633809462,15.3953,-15.1193,89.82,66,0,4.61
Bereket,TM,1633809463,39.2446,55.5154,51.76,21,0,6.62
Alice Springs,AU,1633809167,-23.7,133.8833,67.55,45,90,8.05
Bar Harbor,US,1633809465,44.3876,-68.2039,59.67,66,10,4.0
Rio Grande,BR,1633809467,-32.035,-52.0986,66.31,72,99,16.26
Châteauroux,FR,1633809468,46.8167,1.7,51.8,82,0,6.91
Turan,VN,1633809469,16.0678,108.2208,80.65,94,40,3.44
Homer,US,1633809471,59.6425,-151.5483,45.09,88,100,24.0
Codrington,AU,1633809375,-38.2667,141.9667,47.17,57,53,9.04
Qaraçala,AZ,1633809473,39.8132,48.9523,58.08,62,45,5.68
Westport,US,1633809474,41.1415,-73.3579,68.79,73,100,1.01
Bull Savanna,JM,1633809475,17.8868,-77.5902,83.95,66,17,10.42
Caçu,BR,1633809477,-18.5567,-51.1308,88.99,39,90,4.52
Mahibadhoo,MV,1633809478,3.7833,72.9667,83.32,75,100,12.01
Huilong,CN,1633809319,31.8111,121.655,80.04,92,0,8.23
Bowen,AU,1633809482,-20.0167,148.2333,64.62,74,6,14.2
Birjand,IR,1633809483,32.8663,59.2211,57.67,30,0,9.22
Talas,TR,1633809484,38.6908,35.5538,48.87,43,0,4.61
Strezhevoy,RU,1633809487,60.7333,77.5889,33.78,75,98,11.81
Ilo,PE,1633809488,-17.6394,-71.3375,63.46,82,90,12.66
Jardim,BR,1633809489,-21.4803,-56.1381,83.12,69,83,3.24
Tokur,RU,1633809320,53.1333,132.9,32.2,100,100,3.62
Mbanza-Ngungu,CD,1633809492,-5.25,14.8667,76.84,73,91,2.77
Gordeyevka,RU,1633809493,52.9569,31.9703,39.63,72,0,4.0
El Seibo,DO,1633809494,18.7641,-69.0375,90.52,55,5,8.9
Koslan,RU,1633809497,63.4564,48.8989,32.05,75,87,0.94
Murmashi,RU,1633809498,68.8154,32.8115,37.81,93,75,2.24
Tigzirt,DZ,1633809499,36.8886,4.1198,67.23,66,0,5.14
Oxapampa,PE,1633809501,-10.5775,-75.4017,68.67,84,96,2.75
Billings Metropolitan Area,US,1633809274,45.7833,-108.5007,62.51,75,100,7.0
Fairbanks,US,1633809503,64.8378,-147.7164,36.91,92,90,0.0
Viedma,AR,1633809504,-40.8135,-62.9967,80.87,19,0,11.41
Shelburne,CA,1633809506,44.0787,-80.2041,66.6,93,100,11.43
Khairpur Nathan Shah,PK,1633809507,27.0936,67.7337,88.86,21,0,7.7
Ritchie,ZA,1633809508,-29.038,24.6028,60.01,24,19,14.18
San Simón de la Laguna,MX,1633809461,19.3,-100.0833,64.58,67,76,4.94
Olafsvik,IS,1633809511,64.8945,-23.7142,41.85,86,87,18.32
Anloga,GH,1633809512,5.7947,0.8973,82.62,83,81,12.86
Kumul,CN,1633809513,42.8,93.45,43.21,36,0,4.88
Shintomi,JP,1633809514,32.0785,131.4723,73.33,85,100,9.26
Asău,RO,1633809516,46.4333,26.4,42.28,68,23,4.9
Moyale,KE,1633809517,3.5167,39.0584,76.53,52,98,7.02
Oriximiná,BR,1633809518,-1.7656,-55.8661,95.13,36,60,2.62
Lieksa,FI,1633809520,63.3167,30.0167,51.03,89,100,10.0
Mnogovershinnyy,RU,1633809521,53.9353,139.9242,36.75,61,100,2.24
Idah,NG,1633809522,7.1065,6.7342,75.85,95,100,4.68
Alyangula,AU,1633809476,-13.8483,136.4192,71.47,94,50,3.44
Abu Dhabi,AE,1633809526,24.4667,54.3667,89.62,84,0,3.44
Laas,IT,1633809527,46.6166,10.7002,45.36,83,2,2.53
Taltal,CL,1633809528,-25.4,-70.4833,62.62,59,22,6.64
Kuandian,CN,1633809530,40.7286,124.7847,59.56,92,100,8.41
Abu Samrah,SY,1633809531,35.3029,37.1841,74.53,22,0,5.12
Vila Velha,BR,1633809409,-20.3297,-40.2925,71.55,73,75,4.61
Lexington,US,1633809533,37.9887,-84.4777,80.98,58,4,1.01
Mongu,ZM,1633809535,-15.2484,23.1274,86.41,18,99,3.47
Airai,TL,1633809536,-8.9266,125.4092,58.57,58,94,1.63
Sri Aman,MY,1633809537,1.2376,111.4621,78.85,94,75,0.0
Nesterov,RU,1633809538,54.6306,22.5714,42.57,66,84,4.36
Itaperuçu,BR,1633809540,-25.22,-49.3478,59.79,99,100,2.66
Somerset,US,1633809510,40.5668,-74.5496,69.76,78,90,1.99
Liwale,TZ,1633809542,-9.7667,37.9333,69.78,67,5,5.14
Bariloche,AR,1633809312,-41.1456,-71.3082,73.15,15,0,6.91
Port Jervis,US,1633809546,41.3751,-74.6927,66.27,71,100,9.01
Hasaki,JP,1633809382,35.7333,140.8333,66.6,83,10,5.17
Atambua,ID,1633809548,-9.1061,124.8925,71.53,83,43,3.47
Barcelona,ES,1633809445,41.3888,2.159,67.53,82,75,2.3
Yinchuan,CN,1633809550,38.4681,106.2731,47.03,31,100,3.87
Karlstad,SE,1633809552,59.3793,13.5036,52.36,82,90,13.8
Torrington,US,1633809553,41.8007,-73.1212,64.35,85,100,1.01
Abrau-Dyurso,RU,1633809554,44.69,37.59,51.26,66,100,7.49
Chara,RU,1633809556,56.9064,118.2631,29.44,63,9,1.81
Yurty,RU,1633809558,56.0498,97.6348,44.31,67,100,17.81
Paraty,BR,1633809559,-23.2178,-44.7131,76.1,94,100,4.16
Tyup,KG,1633809561,42.7276,78.3648,41.52,68,99,5.53
Kurayoshi,JP,1633809562,35.4333,133.8167,67.82,79,4,9.4
Pangnirtung,CA,1633809563,66.1451,-65.7125,35.6,100,90,2.3
Tiznit Province,MA,1633809564,29.5833,-9.5,68.83,63,8,1.83
Berlevåg,NO,1633809566,70.8578,29.0864,37.38,95,100,6.69
Baker City,US,1633809567,44.7749,-117.8344,57.94,42,100,8.5
Esterhazy,CA,1633809568,50.65,-102.0843,61.65,38,100,4.9
Tema,GH,1633809570,5.667,-0.0166,82.81,83,75,12.66
Avdon,RU,1633809571,54.6667,55.7167,43.92,65,75,6.71
Monrovia,LR,1633809572,6.3005,-10.7969,80.37,85,97,9.51
Junction City,US,1633809290,39.0286,-96.8314,90.61,36,1,10.0
Lesnoy,RU,1633809575,57.6198,63.0784,34.59,89,78,5.55
Whyalla,AU,1633809576,-33.0333,137.5833,55.29,67,100,16.11
Virginia Beach,US,1633809560,36.8529,-75.978,73.42,86,100,1.01
Yamoussoukro,CI,1633809578,6.8206,-5.2767,80.49,88,20,0.0
Hambantota,LK,1633809490,6.1241,81.1185,80.2,83,100,17.76
Villamontes,BO,1633809582,-21.25,-63.5,73.11,80,100,4.7
Mount Gambier,AU,1633809583,-37.8333,140.7667,39.11,93,40,3.44
Kalabo,ZM,1633809584,-14.97,22.6814,85.71,20,89,3.36
Kot Diji,PK,1633809586,27.3427,68.7083,80.62,33,0,8.59
Matagami,CA,1633809588,49.7502,-77.6328,69.91,56,75,11.5
Shestakovo,RU,1633809589,56.4915,103.96,41.43,77,100,14.47
Grand Gaube,MU,1633809591,-20.0064,57.6608,73.8,73,1,8.99
Cap-aux-Meules,CA,1633809592,47.3821,-61.8597,53.65,66,20,11.5
Raseiniai,LT,1633809593,55.3736,23.1217,43.25,64,94,3.22
Maunabo,PR,1633809528,18.0072,-65.8993,92.05,77,4,12.37
Vila do Maio,CV,1633809596,15.1333,-23.2167,83.19,79,0,11.01
Hastings,GB,1633809597,50.8552,0.5729,57.52,94,1,7.7
Kysyl-Syr,RU,1633809598,63.8986,122.7617,33.66,97,100,11.32
